52 недели занятий с ребенком. Большая книга игр, мастерилок и заданий;840; ;https://www.clever-media.ru/CleverProducts/Books/book_16682/
Первые книжки малыша. Гуляем во дворе. Визуальный словарь;840;Уткина О.;https://www.clever-media.ru/CleverProducts/Books/book_16650/
Первые книжки малыша. Первые цифры. Визуальный словарь;840;Уткина О.;https://www.clever-media.ru/CleverProducts/Books/book_16651/
Первые книжки малыша. Мой дом. Визуальный словарь;840;Уткина О.;https://www.clever-media.ru/CleverProducts/Books/book_16652/
Первые книжки малыша. Пойдём гулять? Визуальный словарь;840;Уткина О.;https://www.clever-media.ru/CleverProducts/Books/book_16653/
Найди и покажи на Руси. 700 слов в помощь школьнику;820;Воскресенская С.                                                                                    ;https://www.clever-media.ru/CleverProducts/Books/book_5214/
Школа Монтессори. Готовимся к школе с Монтессори. Буквы и цифры;820;Урвуа Д.;https://www.clever-media.ru/CleverProducts/Books/book_16484/
Эдгар По. Лучшие стихи и рассказы;805;По Э.А.;https://www.clever-media.ru/CleverProducts/Books/book_4440/
Суперзнатоки. Учение-развлечение. Блокнот с весёлыми развивающими играми. 4-5 лет;805; ;https://www.clever-media.ru/CleverProducts/Books/book_4558/
Рождественская песнь в прозе;805;Диккенс Ч.;https://www.clever-media.ru/CleverProducts/Books/book_4354/
Книга джунглей;805; ;https://www.clever-media.ru/CleverProducts/Books/book_4175/
Суперзнатоки. Учение-развлечение. Блокнот с весёлыми развивающими играми. 5-6 лет;805; ;https://www.clever-media.ru/CleverProducts/Books/book_4559/
Суперзнатоки. Учение-развлечение. Блокнот с весёлыми развивающими играми. 3-4 года;805; ;https://www.clever-media.ru/CleverProducts/Books/book_4547/
Золушка. Книжка-гармошка с наклейками и заданиями;805; ;https://www.clever-media.ru/CleverProducts/Books/book_4561/
На ферме. Найди и покажи;795;Лаваль Т.                                                                                           ;https://www.clever-media.ru/CleverProducts/Books/book_4329/
Сказки о животных;795; ;https://www.clever-media.ru/CleverProducts/Books/book_16770/
Мир вокруг меня. Новый год. Фотокнига;770;Коваль Т.                                                                                           ;https://www.clever-media.ru/CleverProducts/Books/book_5340/
Мир вокруг меня. Разноцветный Новый год. Фотокнига;770;Коваль Т.                                                                                           ;https://www.clever-media.ru/CleverProducts/Books/book_5341/
Мой день в школе. Главная книга малыша;770; ;https://www.clever-media.ru/CleverProducts/Books/book_16257/
Алиса в Стране чудес. Книга для творчества и вдохновения;755; ;https://www.clever-media.ru/CleverProducts/Books/book_4120/
Учимся играя. Я ищу противоположности;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16309/
Зайка Рози и новогодний переполох;755; ;https://www.clever-media.ru/CleverProducts/Books/book_5462/
Первые книжки малыша. Мой первый счёт;755; ;https://www.clever-media.ru/CleverProducts/Books/book_5524/
Найди меня. Веселые прятки;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16342/
Учимся играя. Я учу цвета;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16310/
Мимбо-Джимбо и долгая зима;755;Стрид Я. М.                                                                                         ;https://www.clever-media.ru/CleverProducts/Books/book_3668/
Найди и покажи. Забавные животные;755; ;https://www.clever-media.ru/CleverProducts/Books/book_5460/
Новогодний праздник;755; ;https://www.clever-media.ru/CleverProducts/Books/book_5374/
Найди меня. Кто прячется в саванне;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16343/
Зайка Рози на каникулах;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16253/
Дед Мороз и Снегурочка;755; ;https://www.clever-media.ru/CleverProducts/Books/book_5373/
Зайка Рози и именинный пирог;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16254/
Зайка Рози в детском саду;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16248/
Главная книга малыша. Я знаю 1000 слов о природе;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16843/
Люблю кашу. Книжка-игрушка;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16813/
Мой мишка. Книжка-игрушка;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16814/
Мои первые слова. Книжка-игрушка;755; ;https://www.clever-media.ru/CleverProducts/Books/book_16815/
